8,8,4,4,9,5,9
6,6,4,6,9,6,9
1,1,4,4,4,1,4
8,8,6,4,3,1,3
6,6,4,6,9,6,9
8,8,4,1,4,6,4
2,2,4,6,9,1,9
5,5,4,4,4,5,4
4,4,4,4,4,5,4
9,9,4,6,4,6,4
9,9,4,6,6,1,6
1,1,4,6,4,1,4
8,8,6,4,11,6,11
1,1,4,6,4,1,6
8,8,11,11,11,11,1
8,8,4,4,4,6,4
8,8,4,4,4,4,4
8,8,6,6,6,6,6
6,6,4,6,9,6,9
4,4,4,6,11,4,11
4,4,4,4,4,4,11
5,5,4,5,5,5,5
8,8,4,6,4,6,4
1,1,4,4,6,4,6
1,1,4,6,4,1,4
6,6,6,6,6,5,6
8,8,6,6,6,1,6
9,9,4,4,4,4,4
9,9,4,4,5,5,5
9,9,4,6,6,5,6
1,1,11,11,11,9,11
9,9,4,4,4,4,4
1,1,4,6,7,1,7
1,1,4,6,6,1,6
4,4,6,6,6,6,6
8,8,4,6,6,5,6
9,9,4,6,4,5,4
1,1,4,4,4,5,4
9,9,4,6,4,1,4
9,9,4,4,4,5,4
1,1,4,4,1,1,1
8,8,4,6,4,5,4
5,5,5,5,5,5,5
1,1,4,6,4,6,4
1,1,4,6,6,1,6
8,8,4,6,4,5,4
4,4,4,4,4,4,4
8,8,4,4,1,1,1
9,9,4,6,1,5,1
8,8,4,4,4,6,4
8,8,4,4,4,5,4
8,8,5,4,4,5,4
1,1,6,6,6,4,6
9,9,4,11,11,11,11
1,1,6,6,6,6,6
9,9,4,6,6,1,6
8,8,4,4,1,6,1
4,4,4,4,4,5,4
1,1,4,4,4,4,4
8,8,4,4,7,1,7
8,8,4,6,9,6,9
1,1,4,6,4,1,4
9,9,4,4,4,5,4
8,8,4,6,9,5,4
1,1,4,4,4,4,4
4,4,4,4,4,5,4
4,4,4,4,5,5,5
9,9,4,6,4,6,4
1,1,4,4,4,5,4
8,8,4,4,4,4,4
8,8,4,4,9,5,9
8,8,4,4,1,6,1
9,9,4,6,6,1,6
1,1,4,4,1,5,1
5,5,5,5,5,5,5
1,1,5,5,5,4,4
1,1,4,6,4,1,4
8,8,1,6,6,1,6
1,1,4,4,1,5,1
8,8,4,6,6,6,4
4,4,4,4,4,4,4
1,1,4,4,9,1,9
1,1,6,6,7,1,7
8,8,4,6,4,5,4
2,2,4,4,4,1,4
8,8,4,4,1,6,1
2,2,6,4,2,6,2
1,1,4,4,4,4,4
1,1,4,4,4,5,4
1,1,4,6,4,1,4
1,1,4,4,4,4,4
1,1,4,4,1,1,1
1,1,4,4,4,5,4
1,1,4,4,4,4,4
8,8,6,6,6,6,6
8,8,4,6,4,6,4
8,8,5,5,5,5,4
1,1,4,6,6,5,4
8,8,4,4,1,6,1
8,8,6,6,6,6,6
8,8,4,4,4,5,4
8,8,6,6,6,6,6
4,4,4,4,4,4,4
5,5,4,4,4,5,4
1,1,4,4,9,5,9
8,8,6,4,6,6,6
1,1,4,6,6,4,6
1,1,4,4,4,4,4
1,1,6,6,7,1,6
8,8,4,6,9,1,9
8,8,4,4,6,5,6
1,1,4,6,4,1,4
9,9,4,6,6,5,6
2,2,4,9,9,1,9
1,1,4,5,4,5,5
5,5,5,5,4,5,4
1,1,6,6,8,1,6
8,8,4,4,4,5,4
5,5,5,5,4,5,4
4,4,4,4,11,4,11
4,4,4,4,4,4,4
4,4,11,11,11,9,11
8,8,6,6,6,6,6
4,4,4,4,4,4,4
5,5,4,6,4,5,4
4,4,4,4,4,4,4
1,1,4,4,4,1,4
