genus,count
g__Actinotalea,5
g__Cellulomonas,46
g__Cellulosimicrobium,20
g__Flavimobilis,3
g__Isoptericola,4
g__Isoptericola_A,1
g__Isoptericola_B,1
g__Isoptericola_C,1
g__Jonesia,4
g__Krasilnikoviella,1
g__Luteimicrobium,1
g__Myceligenerans,1
g__Oerskovia,9
g__Paraoerskovia,2
g__Promicromonospora,9
g__Rarobacter,3
g__Sanguibacter,5
g__Sediminihabitans,2
g__Timonella,5
g__Xylanimonas,5
g__CFH-30434,1
