family,count
f__Acidaminobacteraceae,1
f__Anaerovoracaceae,100
f__Caminicellaceae,4
f__Filifactoraceae,14
f__Fusibacteraceae,8
f__Natronincolaceae,13
f__Peptoclostridiaceae,3
f__Peptostreptococcaceae,2140
f__Thermotaleaceae,7
f__Tindalliaceae,8
f__BM714,1
f__DTU036,2
f__T1SED10-28,10
