order,count
c__Acidimicrobiia,608
c__Actinomycetia,17443
c__Coriobacteriia,809
c__Rubrobacteria,8
c__Thermoleophilia,124
c__RBG-13-55-18,6
c__UBA1414,13
c__UBA4738,21
c__UBA9087,13


