order,count
o__Acidothermales,2
o__Actinomycetales,3467
o__Euzebyales,19
o__Jiangellales,17
o__Mycobacteriales,11486
o__Nanopelagicales,106
o__Nitriliruptorales,52
o__Propionibacteriales,662
o__Sporichthyales,1
o__Streptomycetales,1429
o__Streptosporangiales,199
