genus,count
g__Amulumruptor,10
g__Duncaniella,31
g__Muribaculum,37
g__Paramuribaculum,26
g__C941,64
g__CAG-1031,3
g__CAG-279,13
g__CAG-485,84
g__CAG-873,72
g__M3,1
g__SFRY01,1
g__SFTJ01,3
g__UBA3263,11
g__UBA7173,21
g__W0P31-042,2
