genus,count
g__Aldersonia,1
g__Corynebacterium,856
g__Dietzia,27
g__Gordonia,84
g__Hoyosella,2
g__Jongsikchunia,1
g__Lawsonella,3
g__Millisia,1
g__Mycobacterium,9228
g__Nocardia,157
g__Rhodococcus,356
g__Segniliparus,2
g__Skermania,1
g__Smaragdicoccus,2
g__Tomitella,1
g__Tsukamurella,18
g__Williamsia,13
g__Williamsia_A,2
g__Williamsia_B,1
g__X156,1
