genus,count
g__Asaccharospora,1
g__Clostridioides,2018
g__Clostridium_U,6
g__Clostridium_Y,2
g__Intestinibacter,10
g__Paeniclostridium,50
g__Paraclostridium,10
g__Peptostreptococcus,15
g__Romboutsia,9
g__Romboutsia_A,1
g__Romboutsia_B,1
g__Tepidibacter,2
g__Tepidibacter_A,1
g__Terrisporobacter,8
g__GCA-900066495,4
g__GCA-900066495,2
