genus,count
g__Aequorivita,36
g__Algibacter,4
g__Algibacter_A,1
g__Algibacter_B,2
g__Algibacter_C,1
g__Algibacter_D,1
g__Algorimicrobium,5
g__Altibacter,4
g__Antarcticibacterium,1
g__Aquimarina,34
g__Arenibacter,18
g__Arenitalea,2
g__Aurantibacter,1
g__Aureicoccus,1
g__Aureitalea,1
g__Bizionia,1
g__Capnocytophaga,63
g__Cellulophaga,17
g__Changchengzhania,1
g__Confluentibacter,5
g__Croceibacter,6
g__Croceitalea,1
g__Croceivirga,3
g__Dokdonia,10
g__Eudoraea,1
g__Euzebyella,9
g__Flavicella,2
g__Flaviramulus,1
g__Flaviramulus_A,2
g__Flavivirga,2
g__Flavobacterium,470
g__Flavobacterium_B,1
g__Formosa,5
g__Gaetbulibacter,1
g__Galbibacter,1
g__Gelidibacter,8
g__Gillisia,8
g__Gilvibacter,2
g__Gramella,14
g__Hanstruepera,2
g__Ichthyenterobacterium,2
g__Imtechella,1
g__Jejuia,8
g__Joostella,1
g__Kordia,6
g__Kriegella,1
g__Lacinutrix,9
g__Leeuwenhoekiella,36
g__Lutibacter,18
g__Mangrovimonas,3
g__Maribacter,37
g__Maribacter_A,3
g__Mariniflexile,4
g__Marinirhabdus,11
g__Marixanthomonas,8
g__Meridianimaribacter,3
g__Mesoflavibacter,4
g__Mesonia,13
g__Muricauda,39
g__Muricauda_A,6
g__Muriicola,1
g__Myroides,37
g__Nonlabens,26
g__Oceanihabitans,3
g__Ochrovirga,1
g__Olleya,12
g__Polaribacter,45
g__Pricia,1
g__Pseudozobellia,2
g__Psychroflexus,14
g__Psychroserpens,8
g__Pustulibacterium,1
g__Robertkochia,2
g__Robiginitalea,4
g__Salegentibacter,19
g__Salinimicrobium,5
g__Sediminicola,1
g__Sediminicola_A,1
g__Seonamhaeicola,3
g__Siansivirga,1
g__Sinomicrobium,3
g__Tamlana_A,5
g__Tamlana_B,2
g__Tenacibaculum,36
g__Tenacibaculum_A,1
g__Ulvibacter,2
g__Ulvibacter_A,1
g__Wenyingzhuangia,2
g__Winogradskyella,27
g__Xanthomarina,7
g__Zeaxanthinibacter,2
g__Zhouia,2
g__Zobellia,4
g__Zunongwangia,13
g__AU392,2
g__BACL21,12
g__Bin25,1
g__CAU-1491,1
g__CCMM003,1
g__CG1-02-35-72,6
g__CG2-30-34-30,7
g__GCA-002401385,3
g__GCA-002723295,6
g__GCA-002728855,2
g__GCA-002733185,4
g__GCA-2700405,2
g__GCA-2719315,1
g__GCA-2733415,1
g__GCA-2746415,1
g__GCA-2747695,1
g__GCA-2862715,1
g__HC6-5,2
g__Hel1-33-131,1
g__LPB0005,1
g__LPB0138,4
g__MAG-120531,23
g__MAG-121220-bin8,8
g__MAR-2010-188,2
g__MED-G11,6
g__MED-G13,5
g__MED-G14,10
g__MS024-2A,14
g__MS024-2A_A,1
g__MedPE-SWsnd-G2,1
g__PDQE01,1
g__PRS1,2
g__QNYL01,1
g__RR4-38,1
g__SCGC-AAA160-P02,1
g__SGZJ01,1
g__SHLJ01,1
g__SMXJ01,3
g__SZUA-72,1
g__TMED220,2
g__TMED96,3
g__TPBH4,3
g__UBA11891,2
g__UBA2674,1
g__UBA3478,4
g__UBA3537,9
g__UBA3537_A,1
g__UBA4166,4
g__UBA6231,4
g__UBA724,9
g__UBA7428,4
g__UBA7446,10
g__UBA7684,1
g__UBA7949,6
g__UBA8316,12
g__UM-FILTER-40-17,2
