species,count
"s__Pedobacter africanus",1
"s__Pedobacter agri",3
"s__Pedobacter alluvionis",2
"s__Pedobacter antarcticus",3
"s__Pedobacter borealis",1
"s__Pedobacter caeni",1
"s__Pedobacter chitinilyticus",2
"s__Pedobacter cryoconitis",1
"s__Pedobacter cryoconitis_A",1
"s__Pedobacter duraquae",1
"s__Pedobacter ginsengisoli",1
"s__Pedobacter ginsenosidimutans",1
"s__Pedobacter hartonius",1
"s__Pedobacter heparinus",2
"s__Pedobacter insulae",1
"s__Pedobacter jejuensis",1
"s__Pedobacter jeongneungensis",1
"s__Pedobacter kyonggii",1
"s__Pedobacter kyungheensis",1
"s__Pedobacter lusitanus",1
"s__Pedobacter metabolipauper",1
"s__Pedobacter namyangjuensis",1
"s__Pedobacter nanyangensis",1
"s__Pedobacter nutrimenti",1
"s__Pedobacter nyackensis",1
"s__Pedobacter panaciterrae",1
"s__Pedobacter psychrotolerans",1
"s__Pedobacter rhizosphaerae",1
"s__Pedobacter soli",1
"s__Pedobacter steynii",1
"s__Pedobacter steynii_A",1
"s__Pedobacter suwonensis",2
"s__Pedobacter terrae",1
"s__Pedobacter ureilyticus",1
"s__Pedobacter westerhofensis",1
"s__Pedobacter xixiisoli",2
"s__Pedobacter yonginense",1
"s__Pedobacter yulinensis",1
"s__Pedobacter zeaxanthinifaciens",1
"s__Pedobacter sp000170795",1
"s__Pedobacter sp000523515",1
"s__Pedobacter sp000708265",1
"s__Pedobacter sp001027745",1
"s__Pedobacter sp001412215",1
"s__Pedobacter sp001412655",1
"s__Pedobacter sp001421515",1
"s__Pedobacter sp001422545",1
"s__Pedobacter sp001423945",1
"s__Pedobacter sp001424305",1
"s__Pedobacter sp002151545",1
"s__Pedobacter sp002197755",1
"s__Pedobacter sp002320935",1
"s__Pedobacter sp002333205",1
"s__Pedobacter sp002336465",1
"s__Pedobacter sp002399615",1
"s__Pedobacter sp002432345",1
"s__Pedobacter sp002455875",1
"s__Pedobacter sp003054115",1
"s__Pedobacter sp003054145",1
"s__Pedobacter sp003061025",1
"s__Pedobacter sp003173575",1
"s__Pedobacter sp003315595",1
"s__Pedobacter sp003339865",1
"s__Pedobacter sp003387415",1
"s__Pedobacter sp003688475",1
"s__Pedobacter sp003852395",1
"s__Pedobacter sp003852525",1
"s__Pedobacter sp004138205",1
"s__Pedobacter sp004210715",1
"s__Pedobacter sp004211595",1
"s__Pedobacter sp004295885",1
"s__Pedobacter sp004331645",1
"s__Pedobacter sp004331675",1
"s__Pedobacter sp004331685",2
"s__Pedobacter sp004331695",1
"s__Pedobacter sp004331735",1
"s__Pedobacter sp004335085",1
"s__Pedobacter sp004342125",1
"s__Pedobacter sp004354365",1
"s__Pedobacter sp004364225",1
"s__Pedobacter sp005116445",1
"s__Pedobacter sp005116475",1
"s__Pedobacter sp005116505",1
"s__Pedobacter sp005925325",1
"s__Pedobacter sp005938645",1
"s__Pedobacter sp900100435",2
"s__Pedobacter sp900564155",1
