genus,count
g__Actinoalloteichus,8
g__Actinocrispum,1
g__Actinokineospora,9
g__Actinomycetospora,3
g__Actinophytocola,3
g__Actinopolyspora,12
g__Actinosynnema,3
g__Alloactinosynnema,4
g__Allokutzneria,3
g__Amycolatopsis,90
g__Amycolatopsis_C,1
g__Crossiella,1
g__Goodfellowiella,1
g__Haloechinothrix,1
g__Halopolyspora,2
g__Herbihabitans,1
g__Kibdelosporangium,6
g__Kutzneria,3
g__Labedaea,1
g__Lentzea,19
g__Pseudonocardia,45
g__Saccharomonospora,29
g__Saccharopolyspora,21
g__Saccharothrix,11
g__Sciscionella,2
g__Streptoalloteichus,1
g__Tamaricihabitans,1
g__Thermocrispum,3
g__Umezawaea,1
g__Yuhushiella,2
g__GCA-003244245,2
g__QZFT01,1
g__UICC-B-83,1
