family,count
f__Cryptosporangiaceae,3
f__Frankiaceae,46
f__Geodermatophilaceae,69
f__Jatrophihabitantaceae,6
f__Micromonosporaceae,301
f__Mycobacteriaceae,10757
f__Nakamurellaceae,8
f__Pseudonocardiaceae,292
f__QHCA01,1
f__QHCD01,1
f__QHCE01,1
f__SCTD01,1
