genus,count
g__Algoriella,2
g__Apibacter,7
g__Bergeyella,5
g__Bergeyella_A,3
g__Chishuiella,3
g__Chryseobacterium,207
g__Cloacibacterium,7
g__Cruoricaptor,1
g__Elizabethkingia,128
g__Empedobacter,36
g__Epilithonimonas,28
g__Kaistella,42
g__Moheibacter,1
g__Ornithobacterium,6
g__Planobacterium,8
g__Riemerella,36
g__Soonwooa,1
g__Vaginella,1
g__Weeksella,5
g__GCA-2747105,1
g__KYPW7,1
g__PTET01,1
g__UBA3376,1
g__YIM-102668,1
