family,count
f__Opitutaceae,69
f__Puniceicoccaceae,38
f__CAG-312,18
f__CG1-02-43-26,6
f__GWC2-42-7-A,1
f__MB11C04,39
f__T3Sed10-336,12
f__UBA12508,2
f__UBA1977,2
f__UBA2987,3
f__UBA2995,2
f__UBA3534,1
f__UBA4506,1
f__UBA953,16
f__UBA9783,4
f__Verruco-01,9
