species,count
"s__Microbacterium arborescens",7
"s__Microbacterium aurum",1
"s__Microbacterium azadirachtae",5
"s__Microbacterium azadirachtae_A",2
"s__Microbacterium barkeri",2
"s__Microbacterium chocolatum",3
"s__Microbacterium chocolatum_A",1
"s__Microbacterium enclense",2
"s__Microbacterium enclense_A",1
"s__Microbacterium esteraromaticum_A",1
"s__Microbacterium esteraromaticum_B",1
"s__Microbacterium foliorum",2
"s__Microbacterium foliorum_A",3
"s__Microbacterium foliorum_B",1
"s__Microbacterium ginsengisoli",7
"s__Microbacterium ginsengiterrae",1
"s__Microbacterium gorillae",1
"s__Microbacterium gubbeenense",1
"s__Microbacterium halotolerans",1
"s__Microbacterium hominis",3
"s__Microbacterium hydrocarbonoxydans",2
"s__Microbacterium hydrocarbonoxydans_A",1
"s__Microbacterium hydrothermale",1
"s__Microbacterium indicum",1
"s__Microbacterium ketosireducens",1
"s__Microbacterium kitamiense",1
"s__Microbacterium kyungheense",1
"s__Microbacterium lacticum",2
"s__Microbacterium lacus",2
"s__Microbacterium laevaniformans_A",4
"s__Microbacterium lemovicicum",1
"s__Microbacterium liquefaciens",5
"s__Microbacterium luticocti",1
"s__Microbacterium mangrovi",1
"s__Microbacterium maritypicum",10
"s__Microbacterium oleivorans",4
"s__Microbacterium oleivorans_A",1
"s__Microbacterium oleivorans_B",1
"s__Microbacterium oxydans",9
"s__Microbacterium oxydans_A",1
"s__Microbacterium oxydans_B",1
"s__Microbacterium oxydans_C",1
"s__Microbacterium paludicola_A",1
"s__Microbacterium paraoxydans",6
"s__Microbacterium phyllosphaerae",2
"s__Microbacterium profundi",1
"s__Microbacterium pygmaeum",1
"s__Microbacterium resistens",1
"s__Microbacterium saperdae",1
"s__Microbacterium sediminis",3
"s__Microbacterium sorbitolivorans",1
"s__Microbacterium telephonicum",1
"s__Microbacterium testaceum",3
"s__Microbacterium testaceum_A",2
"s__Microbacterium testaceum_B",4
"s__Microbacterium testaceum_C",1
"s__Microbacterium testaceum_E",2
"s__Microbacterium testaceum_F",1
"s__Microbacterium timonense",1
"s__Microbacterium trichothecenolyticum",1
"s__Microbacterium trichothecenolyticum_A",1
"s__Microbacterium yannicii",1
"s__Microbacterium sp000333395",1
"s__Microbacterium sp000380605",1
"s__Microbacterium sp000383475",4
"s__Microbacterium sp000411455",3
"s__Microbacterium sp000425985",7
"s__Microbacterium sp000685355",1
"s__Microbacterium sp000799385",1
"s__Microbacterium sp000800925",4
"s__Microbacterium sp000967865",1
"s__Microbacterium sp001049495",1
"s__Microbacterium sp001262495",1
"s__Microbacterium sp001314225",1
"s__Microbacterium sp001422925",1
"s__Microbacterium sp001423485",1
"s__Microbacterium sp001424225",1
"s__Microbacterium sp001426925",2
"s__Microbacterium sp001426995",1
"s__Microbacterium sp001427145",1
"s__Microbacterium sp001427525",1
"s__Microbacterium sp001428485",1
"s__Microbacterium sp001513675",1
"s__Microbacterium sp001595495",8
"s__Microbacterium sp001619615",1
"s__Microbacterium sp001620065",1
"s__Microbacterium sp001639925",1
"s__Microbacterium sp001650405",1
"s__Microbacterium sp001724425",1
"s__Microbacterium sp001792815",3
"s__Microbacterium sp001878835",1
"s__Microbacterium sp001889265",3
"s__Microbacterium sp001897105",1
"s__Microbacterium sp001897945",1
"s__Microbacterium sp001898315",2
"s__Microbacterium sp001898325",1
"s__Microbacterium sp001984105",1
"s__Microbacterium sp002245215",1
"s__Microbacterium sp002257455",1
"s__Microbacterium sp002313585",15
"s__Microbacterium sp002362255",1
"s__Microbacterium sp002456035",1
"s__Microbacterium sp002703245",1
"s__Microbacterium sp002812725",2
"s__Microbacterium sp002837415",1
"s__Microbacterium sp002848265",1
"s__Microbacterium sp002970975",2
"s__Microbacterium sp002979415",1
"s__Microbacterium sp002979435",1
"s__Microbacterium sp002979475",1
"s__Microbacterium sp002979655",5
"s__Microbacterium sp003075395",1
"s__Microbacterium sp003095395",1
"s__Microbacterium sp003121305",1
"s__Microbacterium sp003248605",1
"s__Microbacterium sp003248655",1
"s__Microbacterium sp003248845",2
"s__Microbacterium sp003254645",2
"s__Microbacterium sp003289625",2
"s__Microbacterium sp003293595",4
"s__Microbacterium sp003387575",1
"s__Microbacterium sp003476465",1
"s__Microbacterium sp003524435",1
"s__Microbacterium sp003526945",1
"s__Microbacterium sp003610405",1
"s__Microbacterium sp003626735",1
"s__Microbacterium sp003635115",1
"s__Microbacterium sp003850245",1
"s__Microbacterium sp003931875",1
"s__Microbacterium sp003999995",1
"s__Microbacterium sp004010105",1
"s__Microbacterium sp004135285",1
"s__Microbacterium sp004216995",1
"s__Microbacterium sp004362195",1
"s__Microbacterium sp004366135",1
"s__Microbacterium sp004564355",2
"s__Microbacterium sp004794315",3
"s__Microbacterium sp004794465",1
"s__Microbacterium sp004794515",2
"s__Microbacterium sp005347485",1
"s__Microbacterium sp005502885",1
"s__Microbacterium sp005774735",1
"s__Microbacterium sp006715145",1
"s__Microbacterium sp006715565",1
"s__Microbacterium sp006715675",1
"s__Microbacterium sp900078385",1
"s__Microbacterium sp900098805",8
"s__Microbacterium sp900102005",2
"s__Microbacterium sp900102175",1
"s__Microbacterium sp900113885",3
"s__Microbacterium sp900114345",1
"s__Microbacterium sp900155915",1
"s__Microbacterium sp900156435",2
"s__Microbacterium sp900156455",3
"s__Microbacterium sp900163665",2
