species,count
"s__Flavobacterium aciduliphilum",1
"s__Flavobacterium akiainvivens",2
"s__Flavobacterium album",1
"s__Flavobacterium alvei",1
"s__Flavobacterium anhuiense",4
"s__Flavobacterium anhuiense_A",1
"s__Flavobacterium antarcticum",1
"s__Flavobacterium aquaticum",1
"s__Flavobacterium aquatile",3
"s__Flavobacterium aquicola",1
"s__Flavobacterium aquidurense",2
"s__Flavobacterium aquidurense_B",1
"s__Flavobacterium araucananum",2
"s__Flavobacterium arcticum",2
"s__Flavobacterium aurantiibacter",1
"s__Flavobacterium beibuense",1
"s__Flavobacterium beibuense_A",1
"s__Flavobacterium branchiophilum",4
"s__Flavobacterium caeni",1
"s__Flavobacterium cauense",2
"s__Flavobacterium cheniae",1
"s__Flavobacterium chilense",2
"s__Flavobacterium chungangense",2
"s__Flavobacterium circumlabens",1
"s__Flavobacterium columnare",7
"s__Flavobacterium columnare_A",8
"s__Flavobacterium columnare_C",3
"s__Flavobacterium columnare_D",3
"s__Flavobacterium commune",2
"s__Flavobacterium crassostreae",2
"s__Flavobacterium croceum",1
"s__Flavobacterium crocinum",1
"s__Flavobacterium cucumis",1
"s__Flavobacterium cupreum",1
"s__Flavobacterium cutihirudinis",1
"s__Flavobacterium cyanobacteriorum",1
"s__Flavobacterium daejeonense",1
"s__Flavobacterium daejeonense_A",1
"s__Flavobacterium dankookense",1
"s__Flavobacterium defluvii",1
"s__Flavobacterium degerlachei",1
"s__Flavobacterium denitrificans",1
"s__Flavobacterium endophyticum",1
"s__Flavobacterium enshiense",2
"s__Flavobacterium faecale",1
"s__Flavobacterium filum",1
"s__Flavobacterium flevense",2
"s__Flavobacterium fluvii",1
"s__Flavobacterium foetidum",1
"s__Flavobacterium fontis",1
"s__Flavobacterium frigidarium",1
"s__Flavobacterium frigidimaris",2
"s__Flavobacterium frigoris",1
"s__Flavobacterium frigoris_A",1
"s__Flavobacterium fryxellicola",2
"s__Flavobacterium gelidilacus",1
"s__Flavobacterium gillisiae",1
"s__Flavobacterium gilvum",2
"s__Flavobacterium ginsenosidimutans",1
"s__Flavobacterium glaciei",1
"s__Flavobacterium glycines",2
"s__Flavobacterium granuli",2
"s__Flavobacterium haoranii",1
"s__Flavobacterium haoranii_A",1
"s__Flavobacterium hercynium",1
"s__Flavobacterium hibernum",3
"s__Flavobacterium hydatis",2
"s__Flavobacterium indicum",1
"s__Flavobacterium jejuense",1
"s__Flavobacterium johnsoniae",6
"s__Flavobacterium johnsoniae_A",1
"s__Flavobacterium kingsejongi",1
"s__Flavobacterium lacus",1
"s__Flavobacterium limicola",1
"s__Flavobacterium limnosediminis",1
"s__Flavobacterium lindanitolerans",8
"s__Flavobacterium lindanitolerans_A",1
"s__Flavobacterium magnum",1
"s__Flavobacterium micromati",1
"s__Flavobacterium nitrogenifigens",2
"s__Flavobacterium noncentrifugens",1
"s__Flavobacterium omnivorum",1
"s__Flavobacterium oncorhynchi",2
"s__Flavobacterium pallidum",1
"s__Flavobacterium pectinovorum",3
"s__Flavobacterium pectinovorum_A",1
"s__Flavobacterium phragmitis",1
"s__Flavobacterium piscis",4
"s__Flavobacterium plurextorum",2
"s__Flavobacterium psychrolimnae",1
"s__Flavobacterium psychrophilum",120
"s__Flavobacterium psychrophilum_A",2
"s__Flavobacterium psychrophilum_B",1
"s__Flavobacterium reichenbachii",2
"s__Flavobacterium resistens",1
"s__Flavobacterium rivuli",2
"s__Flavobacterium saccharophilum",1
"s__Flavobacterium saliperosum",2
"s__Flavobacterium sasangense",1
"s__Flavobacterium sediminis",1
"s__Flavobacterium segetis",1
"s__Flavobacterium seoulense",1
"s__Flavobacterium sinopsychrotolerans",1
"s__Flavobacterium soli",1
"s__Flavobacterium subsaxonicum",2
"s__Flavobacterium succinicans",3
"s__Flavobacterium succinicans_A",1
"s__Flavobacterium suncheonense",2
"s__Flavobacterium swingsii",1
"s__Flavobacterium tegetincola",1
"s__Flavobacterium terrae",1
"s__Flavobacterium terrigena",1
"s__Flavobacterium tibetense",1
"s__Flavobacterium tistrianum",1
"s__Flavobacterium tructae",4
"s__Flavobacterium urocaniciphilum",1
"s__Flavobacterium urumqiense",1
"s__Flavobacterium weaverense",1
"s__Flavobacterium xanthum",1
"s__Flavobacterium xinjiangense",1
"s__Flavobacterium xueshanense",1
"s__Flavobacterium sp000169355",1
"s__Flavobacterium sp000264055",1
"s__Flavobacterium sp000282055",1
"s__Flavobacterium sp000426145",1
"s__Flavobacterium sp000439025",1
"s__Flavobacterium sp000708595",1
"s__Flavobacterium sp000744835",1
"s__Flavobacterium sp000745775",1
"s__Flavobacterium sp000812945",1
"s__Flavobacterium sp000813005",3
"s__Flavobacterium sp000967805",1
"s__Flavobacterium sp001027725",1
"s__Flavobacterium sp001422725",1
"s__Flavobacterium sp001427905",1
"s__Flavobacterium sp001428525",1
"s__Flavobacterium sp001429295",2
"s__Flavobacterium sp001429765",2
"s__Flavobacterium sp001464475",1
"s__Flavobacterium sp001507425",1
"s__Flavobacterium sp001529295",1
"s__Flavobacterium sp001800905",2
"s__Flavobacterium sp001800945",1
"s__Flavobacterium sp001874325",1
"s__Flavobacterium sp001898245",2
"s__Flavobacterium sp001975985",1
"s__Flavobacterium sp002001005",1
"s__Flavobacterium sp002150205",1
"s__Flavobacterium sp002210235",3
"s__Flavobacterium sp002256285",1
"s__Flavobacterium sp002280815",1
"s__Flavobacterium sp002296885",1
"s__Flavobacterium sp002303885",1
"s__Flavobacterium sp002304005",1
"s__Flavobacterium sp002352205",2
"s__Flavobacterium sp002382495",1
"s__Flavobacterium sp002399805",1
"s__Flavobacterium sp002413745",6
"s__Flavobacterium sp002421645",1
"s__Flavobacterium sp002422095",1
"s__Flavobacterium sp002428305",1
"s__Flavobacterium sp002454195",1
"s__Flavobacterium sp002482945",2
"s__Flavobacterium sp002482975",1
"s__Flavobacterium sp002483285",1
"s__Flavobacterium sp002483315",1
"s__Flavobacterium sp002714575",1
"s__Flavobacterium sp002715085",1
"s__Flavobacterium sp002737105",1
"s__Flavobacterium sp002754195",1
"s__Flavobacterium sp002754315",2
"s__Flavobacterium sp002786385",1
"s__Flavobacterium sp002797935",1
"s__Flavobacterium sp002813295",1
"s__Flavobacterium sp002836475",1
"s__Flavobacterium sp002862755",1
"s__Flavobacterium sp002862805",1
"s__Flavobacterium sp003096795",1
"s__Flavobacterium sp003097635",1
"s__Flavobacterium sp003097655",1
"s__Flavobacterium sp003105115",1
"s__Flavobacterium sp003202405",1
"s__Flavobacterium sp003202435",1
"s__Flavobacterium sp003217415",4
"s__Flavobacterium sp003242135",1
"s__Flavobacterium sp003254585",1
"s__Flavobacterium sp003254745",1
"s__Flavobacterium sp003312915",1
"s__Flavobacterium sp003314435",1
"s__Flavobacterium sp003350375",1
"s__Flavobacterium sp003403075",1
"s__Flavobacterium sp003449615",1
"s__Flavobacterium sp003497625",2
"s__Flavobacterium sp003525665",1
"s__Flavobacterium sp003634825",1
"s__Flavobacterium sp003668995",1
"s__Flavobacterium sp003688345",2
"s__Flavobacterium sp003865365",1
"s__Flavobacterium sp003946915",1
"s__Flavobacterium sp003963025",1
"s__Flavobacterium sp003968755",9
"s__Flavobacterium sp004016525",1
"s__Flavobacterium sp004028155",1
"s__Flavobacterium sp004119495",1
"s__Flavobacterium sp004122105",1
"s__Flavobacterium sp004122145",1
"s__Flavobacterium sp004122165",1
"s__Flavobacterium sp004211145",1
"s__Flavobacterium sp004293045",1
"s__Flavobacterium sp004293165",1
"s__Flavobacterium sp004295795",1
"s__Flavobacterium sp004303025",1
"s__Flavobacterium sp004329815",1
"s__Flavobacterium sp004339525",2
"s__Flavobacterium sp004349085",1
"s__Flavobacterium sp004349135",1
"s__Flavobacterium sp004349145",1
"s__Flavobacterium sp004349195",1
"s__Flavobacterium sp004349315",2
"s__Flavobacterium sp004349355",1
"s__Flavobacterium sp004352915",1
"s__Flavobacterium sp004355225",1
"s__Flavobacterium sp004362015",1
"s__Flavobacterium sp004362055",1
"s__Flavobacterium sp004368785",1
"s__Flavobacterium sp004634195",1
"s__Flavobacterium sp004745595",1
"s__Flavobacterium sp004797125",1
"s__Flavobacterium sp004801375",1
"s__Flavobacterium sp004959765",1
"s__Flavobacterium sp005792865",1
"s__Flavobacterium sp006491645",1
"s__Flavobacterium sp007097145",1
"s__Flavobacterium sp007097245",1
"s__Flavobacterium sp007097285",5
"s__Flavobacterium sp007097365",2
"s__Flavobacterium sp007097385",1
"s__Flavobacterium sp007109225",1
"s__Flavobacterium sp900129795",2
