genus,count
g__Actinoallomurus,1
g__Actinocorallia,2
g__Actinomadura_B,2
g__Actinorugispora,1
g__Allonocardiopsis,1
g__Allosalinactinospora,2
g__Haloactinospora,1
g__Herbidospora,7
g__Marinactinospora,1
g__Marinateneraspora,3
g__Microbispora,11
g__Microtetraspora,4
g__Murinocardiopsis,1
g__Nocardiopsis,35
g__Nocardiopsis_A,4
g__Nocardiopsis_B,1
g__Nocardiopsis_C,2
g__Nonomuraea,26
g__Planobispora,1
g__Planomonospora,1
g__Sinosporangium,1
g__Sphaerimonospora,2
g__Sphaerisporangium,1
g__Sphaerisporangium_A,2
g__Spirillospora,39
g__Streptomonospora,2
g__Streptosporangium,7
g__Thermoactinospora,1
g__Thermobifida,9
g__Thermobispora,2
g__Thermomonospora,6
g__Thermopolyspora,2
g__Thermostaphylospora,1
g__Bog-532,3
g__LHW63021,1
g__PALSA-505,1
g__Palsa-504,4
g__Palsa-506,6
g__UBA9676,1
g__YIM-75507,1
