genus,count
g__Agreia,9
g__Agrococcus,10
g__Agromyces,27
g__Agromyces_B,1
g__Amnibacterium,2
g__Aquiluna,9
g__Aurantimicrobium,5
g__Clavibacter,49
g__Cnuibacter,2
g__Compostimonas,1
g__Cryobacterium,102
g__Curtobacterium,123
g__Diaminobutyricimonas,1
g__Frigoribacterium,17
g__Frondihabitans,7
g__Glaciibacter,1
g__Glaciihabitans,1
g__Gryllotalpicola,2
g__Gulosibacter,7
g__Herbiconiux,5
g__Homoserinimonas,5
g__Humibacter,1
g__Klugiella,1
g__Labedella,5
g__Leifsonia,24
g__Leifsonia_A,7
g__Leucobacter,37
g__Lumbricidophila,1
g__Microbacterium,297
g__Microbacterium_A,3
g__Microcella,4
g__Microterricola,7
g__Mycetocola,4
g__Mycetocola_A,5
g__Mycetocola_B,2
g__Naasia,2
g__Okibacterium,2
g__Plantibacter,14
g__Pontimonas,7
g__Pseudoclavibacter,14
g__Pseudoclavibacter_A,1
g__Rathayibacter,131
g__Rhodoglobus,11
g__Rhodoluna,7
g__Schumannella,21
g__Subtercola,9
g__Tropheryma,19
g__Yonghaparkia,10
g__73-13,1
g__MWH-TA3,1
g__NEAU-85,1
g__OACT-916,1
g__Root112D2,1
g__SCRE01,1
g__SISG01,1
g__UBA10887,1
g__UBA3919,1
