genus,count
g__Acaricomes,1
g__Arthrobacter,8
g__Arthrobacter_A,16
g__Arthrobacter_B,9
g__Arthrobacter_C,2
g__Arthrobacter_D,32
g__Arthrobacter_E,3
g__Arthrobacter_F,6
g__Arthrobacter_G,4
g__Arthrobacter_H,2
g__Arthrobacter_I,25
g__Auritidibacter,6
g__Citricoccus,5
g__Enteractinococcus,2
g__Glutamicibacter,42
g__Haematomicrobium,1
g__Kocuria,72
g__Micrococcus,67
g__Neomicrococcus,1
g__Nesterenkonia,12
g__Paenarthrobacter,31
g__Paeniglutamicibacter,6
g__Pseudarthrobacter,58
g__Pseudoglutamicibacter,7
g__Renibacterium,8
g__Rothia,107
g__Sinomonas,8
g__Tersicoccus,2
g__Yaniella,2
g__Zhihengliuella,2
g__MA-N2,4
