order,count
o__Bacteroidales,3842
o__Chitinophagales,332
o__Cytophagales,421
o__Flavobacteriales,2373
o__Sphingobacteriales,301
o__2-12-FULL-37-12,2
o__AKYH767,20
o__AKYH767-A,13
o__J057,1
o__NS11-12g,29
o__UBA7662,4
