genus,count
g__Actinocatenispora,1
g__Actinoplanes,28
g__Asanoa,3
g__Catellatospora,1
g__Catelliglobosispora,4
g__Catenuloplanes,1
g__Dactylosporangium,1
g__Glycomyces,12
g__Haloglycomyces,1
g__Hamadaea,1
g__Longispora,1
g__Micromonospora,241
g__Stackebrandtia,2
g__AC-43,2
g__RSA1,1
g__SLSW01,1
