genus,count
g__Alloprevotella,5
g__Bacteroides,639
g__Bacteroides_E,3
g__Paraprevotella,10
g__Phocaeicola,240
g__Prevotella,720
g__Prevotellamassilia,32
g__43-108,2
g__CAG-462,5
g__CAG-617,4
g__F0040,6
g__Ga6A1,3
g__OM05-12,2
g__RUG210,3
g__UBA1179,8
g__UBA1189,1
g__UBA1786,1
g__UBA1794,1
g__UBA2918,2
g__UBA3839,11
g__UBA4293,4
g__UBA4334,27
g__UBA4372,33
g__UBA6382,16
g__UBA6398,17
