species,count
"s__Bacillus_A albus",18
"s__Bacillus_A anthracis",280
"s__Bacillus_A bingmayongensis",1
"s__Bacillus_A bombysepticus",495
"s__Bacillus_A cereus",157
"s__Bacillus_A cereus_AG",2
"s__Bacillus_A cereus_AK",2
"s__Bacillus_A cereus_AQ",2
"s__Bacillus_A cereus_AT",6
"s__Bacillus_A cereus_AU",5
"s__Bacillus_A cereus_AV",1
"s__Bacillus_A cereus_AW",4
"s__Bacillus_A cereus_AZ",1
"s__Bacillus_A cereus_K",7
"s__Bacillus_A cereus_O",3
"s__Bacillus_A cereus_S",7
"s__Bacillus_A cereus_U",23
"s__Bacillus_A cytotoxicus",14
"s__Bacillus_A gaemokensis",2
"s__Bacillus_A luti",5
"s__Bacillus_A manliponensis",1
"s__Bacillus_A mobilis",27
"s__Bacillus_A mycoides",70
"s__Bacillus_A mycoides_A",2
"s__Bacillus_A mycoides_B",4
"s__Bacillus_A nitratireducens",72
"s__Bacillus_A paramycoides",8
"s__Bacillus_A paranthracis",174
"s__Bacillus_A proteolyticus",3
"s__Bacillus_A pseudomycoides",113
"s__Bacillus_A pseudomycoides_B",1
"s__Bacillus_A pseudomycoides_C",1
"s__Bacillus_A sp000383235",1
"s__Bacillus_A sp002551815",5
"s__Bacillus_A sp002560985",1
"s__Bacillus_A sp002571225",1
"s__Bacillus_A sp002584985",7
"s__Bacillus_A sp002746455",2
"s__Bacillus_A sp002975175",1
"s__Bacillus_A sp006494425",1
"s__Bacillus_A sp900112415",2
"s__Bacillus_A sp900116295",2
"s__Bacillus_A thuringiensis",218
"s__Bacillus_A thuringiensis_K",13
"s__Bacillus_A thuringiensis_N",22
"s__Bacillus_A thuringiensis_S",176
"s__Bacillus_A toyonensis",236
"s__Bacillus_A tropicus",87
"s__Bacillus_A wiedmanni",201
