family,count
f__Ahniellaceae,4
f__Marinicellaceae,3
f__Rhodanobacteraceae,131
f__Wenzhouxiangellaceae,45
f__Xanthomonadaceae,2056
f__SMWH01,1
f__SZUA-36,2
f__SZUA-38,1
f__SZUA-5,1
f__UBA23663,5
