family,count
f__Acutalibacteraceae,548
f__Butyricicoccaceae,69
f__Ethanoligenenaceae,8
f__Oscillospiraceae,417
f__Ruminococcaceae,470
f__CAG-272,63
f__CAG-382,20
f__CAG-382_A,2
f__QAKW01,2
f__QAMX01,3
f__UBA1758,1
f__UBA644,6
f__UMGS1783,1
