species,count
"s__Prevotella sp900316295",4
"s__Prevotella sp900316445",1
"s__Prevotella sp900316475",1
"s__Prevotella sp900316565",7
"s__Prevotella sp900316645",5
"s__Prevotella sp900316685",2
"s__Prevotella sp900316985",2
"s__Prevotella sp900317305",3
"s__Prevotella sp900317405",2
"s__Prevotella sp900317545",1
"s__Prevotella sp900317685",4
"s__Prevotella sp900318395",2
"s__Prevotella sp900318555",2
"s__Prevotella sp900318585",1
"s__Prevotella sp900318625",7
"s__Prevotella sp900318685",1
"s__Prevotella sp900318795",6
"s__Prevotella sp900318815",1
"s__Prevotella sp900318855",3
"s__Prevotella sp900318885",1
"s__Prevotella sp900318915",3
"s__Prevotella sp900319305",1
"s__Prevotella sp900319715",2
"s__Prevotella sp900319895",1
"s__Prevotella sp900319905",4
"s__Prevotella sp900320045",2
"s__Prevotella sp900320255",2
"s__Prevotella sp900320445",1
"s__Prevotella sp900320585",1
"s__Prevotella sp900320845",1
"s__Prevotella sp900320905",1
"s__Prevotella sp900321425",2
"s__Prevotella sp900321965",1
"s__Prevotella sp900322035",1
"s__Prevotella sp900322095",2
"s__Prevotella sp900322175",1
"s__Prevotella sp900540375",1
"s__Prevotella sp900540415",1
"s__Prevotella sp900543585",1
"s__Prevotella sp900543975",3
"s__Prevotella sp900544495",1
"s__Prevotella sp900544825",1
"s__Prevotella sp900545525",1
"s__Prevotella sp900546345",1
"s__Prevotella sp900546535",2
"s__Prevotella sp900546575",1
"s__Prevotella sp900547005",2
"s__Prevotella sp900547085",1
"s__Prevotella sp900548195",2
"s__Prevotella sp900548535",1
"s__Prevotella sp900548585",1
"s__Prevotella sp900548745",1
"s__Prevotella sp900549175",1
"s__Prevotella sp900550035",1
"s__Prevotella sp900550365",1
"s__Prevotella sp900551055",1
"s__Prevotella sp900551275",1
"s__Prevotella sp900551985",1
"s__Prevotella sp900552515",1
"s__Prevotella sp900552675",3
"s__Prevotella sp900552965",1
"s__Prevotella sp900553155",1
"s__Prevotella sp900553465",1
"s__Prevotella sp900553595",1
"s__Prevotella sp900553965",1
"s__Prevotella sp900554045",1
"s__Prevotella sp900554545",1
"s__Prevotella sp900554695",1
"s__Prevotella sp900554835",1
"s__Prevotella sp900555035",1
"s__Prevotella sp900556275",1
"s__Prevotella sp900556395",1
"s__Prevotella sp900556795",1
"s__Prevotella sp900556825",1
"s__Prevotella sp900557035",2
"s__Prevotella sp900557255",1
"s__Prevotella sp900557405",1
"s__Prevotella sp900607215",1
