genus,count
g__Massilibacteroides,1
g__Parabacteroides,161
g__Parabacteroides_A,4
g__Tannerella,20
g__Barb7,3
g__Marseille-P3160,1
g__OLMS01,1
g__UBA12018,1
g__UBA4116,1
