species,count
"s__Chryseobacterium angstadtii",1
"s__Chryseobacterium aquaticum",2
"s__Chryseobacterium aquifrigidense",2
"s__Chryseobacterium arachidis",1
"s__Chryseobacterium arthrosphaerae",4
"s__Chryseobacterium artocarpi",1
"s__Chryseobacterium aurantiacum",1
"s__Chryseobacterium balustinum",3
"s__Chryseobacterium bernardetii",2
"s__Chryseobacterium camelliae",1
"s__Chryseobacterium carnipullorum",5
"s__Chryseobacterium contaminans",2
"s__Chryseobacterium cucumeris",3
"s__Chryseobacterium culicis",2
"s__Chryseobacterium culicis_A",2
"s__Chryseobacterium daecheongense",2
"s__Chryseobacterium daeguense",1
"s__Chryseobacterium defluvii",1
"s__Chryseobacterium elymi",1
"s__Chryseobacterium flavum",3
"s__Chryseobacterium formosense",3
"s__Chryseobacterium gallinarum",2
"s__Chryseobacterium gambrini",2
"s__Chryseobacterium geocarposphaerae",1
"s__Chryseobacterium glaciei",1
"s__Chryseobacterium gleum",5
"s__Chryseobacterium greenlandense",1
"s__Chryseobacterium gregarium",1
"s__Chryseobacterium hispalense",1
"s__Chryseobacterium indologenes",18
"s__Chryseobacterium indologenes_A",1
"s__Chryseobacterium indologenes_B",2
"s__Chryseobacterium indologenes_E",1
"s__Chryseobacterium indologenes_F",1
"s__Chryseobacterium indoltheticum",5
"s__Chryseobacterium jejuense",2
"s__Chryseobacterium joostei",3
"s__Chryseobacterium kwangjuense",1
"s__Chryseobacterium lactis",3
"s__Chryseobacterium lathyri",1
"s__Chryseobacterium limigenitum",1
"s__Chryseobacterium luteum",1
"s__Chryseobacterium mucoviscidosis",4
"s__Chryseobacterium nakagawai",2
"s__Chryseobacterium nematophagum_A",1
"s__Chryseobacterium nematophagum_B",1
"s__Chryseobacterium oleae",1
"s__Chryseobacterium oncorhynchi",1
"s__Chryseobacterium oranimense",3
"s__Chryseobacterium piperi",2
"s__Chryseobacterium piscicola",2
"s__Chryseobacterium piscium",2
"s__Chryseobacterium polytrichastri",1
"s__Chryseobacterium rhizoplanae",2
"s__Chryseobacterium rhizosphaerae",3
"s__Chryseobacterium scophthalmum",2
"s__Chryseobacterium shandongense",4
"s__Chryseobacterium shigense",2
"s__Chryseobacterium soldanellicola",1
"s__Chryseobacterium soli",1
"s__Chryseobacterium taeanense",1
"s__Chryseobacterium taichungense",1
"s__Chryseobacterium taihuense",2
"s__Chryseobacterium taiwanense",1
"s__Chryseobacterium takakiae",1
"s__Chryseobacterium ureilyticum",1
"s__Chryseobacterium viscerum",2
"s__Chryseobacterium vrystaatense",2
"s__Chryseobacterium wanjuense",1
"s__Chryseobacterium sp000333355",1
"s__Chryseobacterium sp000737715",1
"s__Chryseobacterium sp000744495",3
"s__Chryseobacterium sp000745535",1
"s__Chryseobacterium sp000745795",1
"s__Chryseobacterium sp000799195",1
"s__Chryseobacterium sp000799235",1
"s__Chryseobacterium sp000799255",2
"s__Chryseobacterium sp000799335",1
"s__Chryseobacterium sp000799455",1
"s__Chryseobacterium sp000799515",1
"s__Chryseobacterium sp000829375",1
"s__Chryseobacterium sp001045445",1
"s__Chryseobacterium sp001045455",1
"s__Chryseobacterium sp001297705",1
"s__Chryseobacterium sp001421435",1
"s__Chryseobacterium sp001424105",1
"s__Chryseobacterium sp001424145",1
"s__Chryseobacterium sp001424585",1
"s__Chryseobacterium sp001425355",1
"s__Chryseobacterium sp001456155",2
"s__Chryseobacterium sp001677955",2
"s__Chryseobacterium sp002216065",1
"s__Chryseobacterium sp002434285",1
"s__Chryseobacterium sp002455915",1
"s__Chryseobacterium sp002754245",1
"s__Chryseobacterium sp002835665",1
"s__Chryseobacterium sp002899825",1
"s__Chryseobacterium sp002979455",1
"s__Chryseobacterium sp003182335",3
"s__Chryseobacterium sp003201365",3
"s__Chryseobacterium sp003347605",1
"s__Chryseobacterium sp003384725",1
"s__Chryseobacterium sp003385515",2
"s__Chryseobacterium sp003663845",1
"s__Chryseobacterium sp003669035",1
"s__Chryseobacterium sp003729935",1
"s__Chryseobacterium sp003815655",1
"s__Chryseobacterium sp003815675",1
"s__Chryseobacterium sp003815715",1
"s__Chryseobacterium sp003971235",1
"s__Chryseobacterium sp004119445",1
"s__Chryseobacterium sp004119455",2
"s__Chryseobacterium sp006175945",1
"s__Chryseobacterium sp006829085",1
"s__Chryseobacterium sp900078205",1
"s__Chryseobacterium sp900128945",3
"s__Chryseobacterium sp900156075",1
"s__Chryseobacterium sp900156935",1
"s__Chryseobacterium sp900169075",1
