family,count
f__Blattabacteriaceae,36
f__Crocinitomicaceae,53
f__Flavobacteriaceae,1474
f__Ichthyobacteriaceae,1
f__Salibacteraceae,29
f__Schleiferiaceae,64
f__Vicingaceae,23
f__Weeksellaceae,532
f__BACL11,30
f__GCA-002722245,4
f__GCA-2746335,1
f__NORP154,2
f__PHOS-HE28,8
f__T3Sed10-241,6
f__TMED113,13
f__UA16,63
f__UBA10066,14
f__UBA10329,1
f__UBA1820,5
f__UBA2798,7
f__UBA7430,6
f__UJ101,1
