species,count
"s__Clostridium baratii",10
"s__Clostridium beijerinckii",26
"s__Clostridium beijerinckii_A",1
"s__Clostridium beijerinckii_D",1
"s__Clostridium botulinum_A",22
"s__Clostridium botulinum_B",9
"s__Clostridium butyricum",32
"s__Clostridium celatum",1
"s__Clostridium chauvoei",5
"s__Clostridium chromiireducens",2
"s__Clostridium cuniculi",1
"s__Clostridium disporicum_A",1
"s__Clostridium gasigenes",1
"s__Clostridium isatidis",1
"s__Clostridium neonatale",4
"s__Clostridium nigeriense",2
"s__Clostridium paraputrificum",12
"s__Clostridium puniceum",1
"s__Clostridium saccharobutylicum",8
"s__Clostridium saccharoperbutylacetonicum",3
"s__Clostridium sartagoforme_A",2
"s__Clostridium sartagoforme_B",1
"s__Clostridium saudiense",5
"s__Clostridium septicum",4
"s__Clostridium taeniosporum",1
"s__Clostridium tertium",9
"s__Clostridium thermobutyricum",2
"s__Clostridium uliginosum",1
"s__Clostridium vincentii",1
"s__Clostridium sp000230835",2
"s__Clostridium sp000435835",2
"s__Clostridium sp000498355",1
"s__Clostridium sp000753455",1
"s__Clostridium sp001916075",3
"s__Clostridium sp002760435",2
"s__Clostridium sp003539755",1
"s__Clostridium sp007115085",1
"s__Clostridium sp900116755",1
"s__Clostridium sp900317445",1
"s__Clostridium sp900539375",1
"s__Clostridium sp900540255",1
"s__Clostridium sp900543325",1
"s__Clostridium sp900547454",1
