genus,count
g__Actinobaculum,7
g__Actinomyces,106
g__Actinomyces_I,1
g__Actinotignum,9
g__Ancrocorticia,8
g__Arcanobacterium,5
g__Arcanobacterium_A,4
g__Bogoriella,1
g__Boudabousia,4
g__Bowdeniella,2
g__Buchananella,3
g__Flaviflexus,3
g__Georgenia,5
g__Gleimia,8
g__Mobiluncus,14
g__Oceanitalea,4
g__Pauljensenia,58
g__Trueperella,23
g__Varibaculum,13
g__Winkia,12
g__JB111,1
g__KH17,1
g__Marseille-P6182,1
g__UBA1383,2
g__ZLJ043,2
