family,count
f__Anaerotignaceae,27
f__Cellulosilyticaceae,21
f__Defluviitaleaceae,1
f__Lachnospiraceae,2094
f__Vallitaleaceae,17
f__Vallitaleaceae_A,1
f__CAG-274,7
f__DSM-24629,2
f__UBA12420,6
f__UBA1390,8
f__UBA5962,1
