family,count
f__Actinomycetaceae,297
f__Angustibacteraceae,1
f__Beutenbergiaceae,12
f__Bifidobacteriaceae,1129
f__Brevibacteriaceae,75
f__Cellulomonadaceae,129
f__Demequinaceae,33
f__Dermabacteraceae,45
f__Dermatophilaceae,141
f__Kineococcaceae,3
f__Kineosporiaceae,3
f__Microbacteriaceae,1041
f__Micrococcaceae,551
f__Quadrisphaeraceae,5
f__GCA-002748415,5
