species,count
"s__Elizabethkingia anophelis",67
"s__Elizabethkingia bruuniana",10
"s__Elizabethkingia meningoseptica",23
"s__Elizabethkingia miricola",17
"s__Elizabethkingia occulta",2
"s__Elizabethkingia ursingii",5
"s__Elizabethkingia sp003058195",2
"s__Elizabethkingia sp003852805",1
"s__Elizabethkingia sp006088815",1
