family,count
f__Acidimicrobiaceae,8
f__Ilumatobacteraceae,66
f__Microtrichaceae,16
f__AC-14,2
f__AC-35,1
f__Bin134,1
f__Bog-793,72
f__GCA-2861595,1
f__MedAcidi-G1,73
f__Palsa-688,7
f__QHCF01,2
f__RAAP-2,195
f__SHLQ01,1
f__SIRW01,1
f__SZUA-35,1
f__TK06,52
f__UBA10347,1
f__UBA11606,11
f__UBA8139,3
f__UBA8190,12
f__UBA8592,30
