genus,count
g__Embleya,3
g__Kitasatospora,51
g__Streptacidiphilus,13
g__Streptacidiphilus_A,1
g__Streptomyces,1335
g__Streptomyces_A,2
g__Streptomyces_B,14
g__Streptomyces_C,3
g__Streptomyces_D,2
g__Streptomyces_G,1
