genus,count
g__Helicobacter,1449
g__Helicobacter_A,29
g__Helicobacter_B,11
g__Helicobacter_C,52
g__Helicobacter_D,44
g__Helicobacter_E,77
g__Helicobacter_F,7
g__Helicobacter_G,8
g__Helicobacter_H,7
g__Helicobacter_I,2
g__Helicobacter_J,6
g__Wolinella,3
g__NHYM01,2
g__NHYN01,1
