family,count
f__Aeromonadaceae,421
f__Alteromonadaceae,754
f__Enterobacteriaceae,45359
f__Gallaecimonadaceae,4
f__Kangiellaceae,13
f__Neiellaceae,4
f__Pasteurellaceae,1632
f__Psittacicellaceae,4
f__Psychrobiaceae,2
f__Psychromonadaceae,37
f__Psychromonadaceae_A,7
f__Shewanellaceae,166
f__Succinivibrionaceae,65
f__Vibrionaceae,3912
f__DSM-103792,1
f__GCA-002770795,3
f__UBA3532,1
