species,count
"s__Streptomyces mutomycini",2
"s__Streptomyces nanshensis_A",2
"s__Streptomyces natalensis",1
"s__Streptomyces netropsis",1
"s__Streptomyces neyagawaensis",1
"s__Streptomyces niger",1
"s__Streptomyces nigra",3
"s__Streptomyces niveiscabiei",2
"s__Streptomyces niveus",3
"s__Streptomyces niveus_A",1
"s__Streptomyces nodosus",1
"s__Streptomyces nondiastaticus",1
"s__Streptomyces noursei",1
"s__Streptomyces oceani",1
"s__Streptomyces ochraceiscleroticus",1
"s__Streptomyces odonnellii",1
"s__Streptomyces olindensis",1
"s__Streptomyces olivaceus",3
"s__Streptomyces olivochromogenes",8
"s__Streptomyces olivoreticuli",1
"s__Streptomyces orinoci",1
"s__Streptomyces ossamyceticus",2
"s__Streptomyces pactum",2
"s__Streptomyces palmae",1
"s__Streptomyces papulosus",11
"s__Streptomyces parvulus",2
"s__Streptomyces pathocidini",1
"s__Streptomyces phaeochromogenes",1
"s__Streptomyces phaeoluteigriseus",1
"s__Streptomyces pharetrae",1
"s__Streptomyces philanthi",1
"s__Streptomyces pini",1
"s__Streptomyces platensis",2
"s__Streptomyces pluripotens",3
"s__Streptomyces populi",1
"s__Streptomyces prasinopilosus",1
"s__Streptomyces prasinus",3
"s__Streptomyces pristinaespiralis",2
"s__Streptomyces prunicolor",1
"s__Streptomyces pseudogriseolus",4
"s__Streptomyces pseudovenezuelae",1
"s__Streptomyces puniciscabiei",3
"s__Streptomyces puniciscabiei_B",1
"s__Streptomyces purpureus",1
"s__Streptomyces qinglanensis",2
"s__Streptomyces radiopugnans",1
"s__Streptomyces rapamycinicus",2
"s__Streptomyces regalis",1
"s__Streptomyces resistomycificus",2
"s__Streptomyces rhizosphaericus",3
"s__Streptomyces rimosus",47
"s__Streptomyces rimosus_A",1
"s__Streptomyces rishiriensis",1
"s__Streptomyces rochei",16
"s__Streptomyces roseochromogenus",1
"s__Streptomyces roseoverticillatus",1
"s__Streptomyces roseus",1
"s__Streptomyces rubrogriseus",1
"s__Streptomyces scabiei",3
"s__Streptomyces sclerotialus",1
"s__Streptomyces sclerotialus_B",1
"s__Streptomyces scopuliridis",2
"s__Streptomyces sedi",1
"s__Streptomyces seoulensis",3
"s__Streptomyces shenzhenensis",1
"s__Streptomyces showdoensis",1
"s__Streptomyces silaceus",2
"s__Streptomyces silvensis",1
"s__Streptomyces sioyaensis",7
"s__Streptomyces somaliensis",1
"s__Streptomyces sparsogenes",2
"s__Streptomyces specialis",1
"s__Streptomyces speibonae",3
"s__Streptomyces spinoverrucosus",1
"s__Streptomyces spongiicola",2
"s__Streptomyces stelliscabiei",3
"s__Streptomyces subrutilus",1
"s__Streptomyces sulphureus",1
"s__Streptomyces sviceus",2
"s__Streptomyces swartbergensis",1
"s__Streptomyces thermocarboxydus",4
"s__Streptomyces thermolilacinus",1
"s__Streptomyces thermovulgaris",2
"s__Streptomyces tirandamycinicus",5
"s__Streptomyces torulosus",1
"s__Streptomyces toyocaensis",1
"s__Streptomyces tricolor",4
"s__Streptomyces triticisoli",1
"s__Streptomyces tsukubensis",2
"s__Streptomyces tsukubensis_B",1
"s__Streptomyces turgidiscabies",3
"s__Streptomyces uncialis",3
"s__Streptomyces variabilis",2
"s__Streptomyces variegatus",2
"s__Streptomyces varsoviensis",2
"s__Streptomyces venezuelae",3
"s__Streptomyces vietnamensis",1
"s__Streptomyces vinaceus_A",8
"s__Streptomyces violaceoruber_B",1
"s__Streptomyces violaceorubidus",1
"s__Streptomyces violaceus",1
"s__Streptomyces violaceusniger",1
"s__Streptomyces violaceusniger_A",3
"s__Streptomyces violens",1
"s__Streptomyces virginiae",19
"s__Streptomyces virginiae_A",2
"s__Streptomyces viridochromogenes_A",3
"s__Streptomyces viridochromogenes_B",1
"s__Streptomyces viridosporus",3
"s__Streptomyces wedmorensis",3
"s__Streptomyces wuyuanensis",1
"s__Streptomyces xanthophaeus",2
"s__Streptomyces xiamenensis",2
"s__Streptomyces xiaopingdaonensis",1
"s__Streptomyces xinghaiensis",7
"s__Streptomyces xylophagus",1
"s__Streptomyces yangpuensis",2
"s__Streptomyces yerevanensis",1
"s__Streptomyces yokosukanensis",1
"s__Streptomyces yunnanensis",3
"s__Streptomyces zhaozhouensis",1
