genus,count
g__Aminicella,2
g__Aminipila,2
g__Anaerovorax,1
g__Bacilliculturomica,1
g__Emergencia,4
g__Eubacterium_A,9
g__Eubacterium_B,6
g__Eubacterium_M,2
g__Eubacterium_N,1
g__Eubacterium_T,10
g__Mogibacterium,18
g__CAG-145,8
g__CAG-238,6
g__PHAE01,1
g__QAKD01,1
g__RUG100,1
g__RUG708,1
g__RUG754,2
g__S5-A14a,3
g__UBA10908,1
g__UBA1191,6
g__UBA1422,1
g__UBA1426,3
g__UBA1440,1
g__UBA1739,1
g__UBA1764,1
g__UBA1768,1
g__UBA3738,1
g__UBA3871,1
g__UBA5559,1
g__UBA5774,1
g__UBA7709,1
g__UNGS973,1
