5,5,4,4,1,4,1
6,6,6,4,4,6,4
4,4,4,4,11,4,11
2,2,6,3,1,1,2
11,11,6,4,4,11,6
6,6,4,4,4,4,4
9,9,11,9,4,11,4
5,5,4,4,4,4,4
6,6,4,4,1,5,1
11,11,6,4,11,6,11
6,6,6,4,4,6,4
6,6,6,4,4,6,4
6,6,6,4,11,6,11
6,6,6,4,6,6,4
6,6,11,8,11,7,11
9,9,6,3,4,6,4
4,4,4,4,4,4,4
4,4,6,4,4,6,4
6,6,6,4,11,11,11
4,4,4,4,11,4,11
6,6,4,4,4,4,4
4,4,4,4,4,4,4
11,11,6,4,4,7,4
6,6,6,4,4,5,4
6,6,6,6,4,7,4
6,6,6,4,6,6,6
6,6,6,6,6,6,6
5,5,4,9,9,4,4
4,4,4,4,4,4,4
6,6,6,4,11,6,11
11,11,11,11,9,11,9
6,6,6,4,7,7,7
1,1,11,11,4,7,4
2,2,11,9,4,11,4
6,6,6,6,4,6,11
6,6,6,4,4,6,11
1,1,6,4,6,4,11
4,4,4,4,8,4,8
11,11,11,9,4,11,4
1,1,4,4,4,1,4
4,4,4,4,6,4,6
11,11,11,4,4,11,4
5,5,4,4,4,4,4
6,6,4,4,4,4,4
5,5,6,4,4,6,4
9,9,11,8,1,11,1
4,4,4,4,4,4,4
6,6,4,4,4,11,4
6,6,4,4,4,6,4
6,6,4,4,6,4,6
4,4,4,4,1,4,1
6,6,4,4,1,6,1
6,6,6,6,4,6,4
11,11,11,9,11,11,11
6,6,6,4,11,6,11
1,1,6,4,4,5,4
6,6,4,4,6,4,6
4,4,4,4,4,4,4
6,6,4,4,4,4,4
4,4,6,7,7,7,4
6,6,6,4,1,6,11
9,9,11,11,11,11,4
11,11,4,9,4,6,11
5,5,4,4,11,5,11
4,4,4,4,4,4,4
4,4,4,4,4,4,4
11,11,6,4,4,4,4
11,11,6,4,7,6,4
4,4,4,4,11,4,11
4,4,4,4,4,4,4
5,5,4,4,11,11,11
9,9,4,4,9,4,5
6,6,4,4,4,5,4
5,5,4,4,4,4,11
4,4,4,4,4,4,4
6,6,4,4,1,4,1
6,6,6,4,11,6,11
11,11,11,9,4,1,4
11,11,11,4,11,11,11
11,11,6,9,11,6,4
4,4,4,4,4,4,4
4,4,4,4,4,4,6
6,6,6,4,4,7,4
6,6,4,4,4,6,4
6,6,4,4,4,4,4
4,4,4,4,9,6,9
4,4,4,4,3,4,3
6,6,4,4,4,4,4
5,5,4,4,4,5,4
11,11,6,6,4,6,11
4,4,4,4,8,4,4
1,1,1,9,1,6,1
4,4,4,4,4,4,4
4,4,4,4,4,4,4
2,2,6,6,6,7,6
6,6,6,6,11,7,11
4,4,4,4,8,4,4
6,6,6,9,4,6,4
6,6,4,4,4,4,4
5,5,6,4,4,6,4
11,11,11,9,4,11,4
11,11,6,6,6,6,4
4,4,4,4,4,4,4
6,6,4,9,8,4,8
9,9,4,9,11,11,11
6,6,1,4,3,6,3
4,4,4,4,5,4,5
4,4,4,4,4,4,11
9,9,6,4,4,7,4
11,11,11,9,1,11,1
5,5,1,9,11,5,11
6,6,6,4,4,4,4
6,6,6,4,1,6,1
2,2,6,9,4,2,4
5,5,4,4,4,4,4
4,4,4,4,4,4,4
6,6,6,1,1,6,1
11,11,4,4,4,4,4
4,4,4,4,8,4,4
6,6,4,4,11,11,11
4,4,4,4,11,4,11
2,2,11,9,9,11,9
6,6,6,6,5,6,5
6,6,4,4,4,4,4
5,5,4,4,4,4,4
4,4,4,4,4,4,4
6,6,4,4,4,4,4
